"r","b","color"
223,76,"pink"
97,107,"purple"
159,227,"purple"
223,37,"red"
99,113,"purple"
212,207,"pink"
212,184,"pink"
207,189,"pink"
228,230,"pink"
219,15,"red"
134,31,"red"
70,152,"purple"
11,22,"brown"
164,152,"purple"
204,12,"red"
240,164,"pink"
26,224,"blue"
234,157,"pink"
143,62,"purple"
76,115,"purple"
136,4,"red"
234,221,"pink"
5,95,"blue"
181,133,"pink"
243,203,"pink"
80,164,"purple"
184,0,"red"
89,141,"purple"
40,173,"blue"
117,56,"brown"
238,25,"red"
61,156,"blue"
129,149,"purple"
51,14,"brown"
205,110,"pink"
11,15,"brown"
228,175,"pink"
22,96,"blue"
185,39,"red"
169,159,"purple"
197,29,"red"
13,58,"blue"
186,65,"red"
155,160,"purple"
149,149,"purple"
125,252,"purple"
106,77,"purple"
188,62,"red"
200,170,"pink"
125,68,"purple"
196,225,"purple"
224,207,"pink"
71,110,"purple"
167,66,"pink"
201,116,"pink"
78,157,"purple"
55,82,"purple"
252,174,"pink"
136,10,"red"
190,127,"pink"
144,24,"red"
174,2,"red"
92,179,"purple"
24,213,"blue"
97,15,"brown"
19,198,"blue"
186,77,"pink"
39,224,"blue"
130,231,"purple"
215,92,"pink"
136,231,"purple"
159,151,"purple"
182,43,"red"
164,89,"purple"
252,97,"pink"
134,218,"purple"
214,126,"pink"
161,146,"purple"
108,10,"red"
112,122,"purple"
165,115,"purple"
4,158,"blue"
246,156,"pink"
193,253,"purple"
121,46,"brown"
44,56,"purple"
24,237,"blue"
20,103,"blue"
217,18,"red"
218,51,"red"
207,38,"red"
73,5,"brown"
94,135,"purple"
193,251,"purple"
83,63,"purple"
66,179,"blue"
158,148,"purple"
167,81,"pink"
212,137,"pink"
150,2,"red"
214,119,"pink"
150,23,"red"
175,80,"pink"
64,236,"blue"
49,206,"blue"
205,221,"purple"
214,64,"red"
182,117,"pink"
28,13,"purple"
91,189,"purple"
142,151,"purple"
124,190,"purple"
122,211,"purple"
51,59,"purple"
70,98,"purple"
205,122,"pink"
130,207,"purple"
154,232,"purple"
146,45,"red"
228,39,"red"
171,231,"purple"
224,150,"pink"
198,202,"purple"
243,245,"pink"
4,164,"blue"
23,80,"blue"
244,201,"pink"
151,204,"purple"
121,222,"purple"
220,57,"red"
209,139,"pink"
63,27,"brown"
162,104,"purple"
68,143,"purple"
149,114,"purple"
76,215,"blue"
59,228,"blue"
30,41,"purple"
100,159,"purple"
12,65,"blue"
227,116,"pink"
229,226,"pink"
142,181,"purple"
219,137,"pink"
80,69,"purple"
120,151,"purple"
7,182,"blue"
156,115,"purple"
52,23,"brown"
176,141,"purple"
118,78,"purple"
178,100,"pink"
11,179,"blue"
158,222,"purple"
57,210,"blue"
163,180,"purple"
113,173,"purple"
121,14,"red"
65,149,"purple"
179,212,"purple"
1,218,"blue"
96,14,"brown"
146,58,"red"
15,18,"brown"
207,58,"red"
